Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAP,"Advance Auto Parts Inc",218.68,-1.9,-0.86%,222.9589,218.38,513000,2022-04-14
AMZN,"Amazon.com Inc",3034.13,-76.69,-2.47%,3117.94,3029.44,2579900,2022-04-14
APTV,"Aptiv Plc",107.51,-1.39,-1.28%,110.118,107.15,1180600,2022-04-14
AZO,Autozone,2164.6001,-6.8298,-0.31%,2193.71,2164.6001,91000,2022-04-14
BBWI,"Bath & Body Works Inc",52.19,1.06,+2.07%,53.295,51.21,4172400,2022-04-14
BBY,"Best Buy Company",93.84,-1.39,-1.46%,96.77,93.5,2019500,2022-04-14
BKNG,"Booking Holdings Inc",2227.29,-32.82,-1.45%,2307.46,2213.45,402200,2022-04-14
BWA,"Borgwarner Inc",37.01,0.16,+0.43%,37.44,36.74,2107600,2022-04-14
CCL,"Carnival Corp",19.56,0.049999999999997,+0.26%,20.0884,19.45,25316700,2022-04-14
CMG,"Chipotle Mexican Grill",1603.17,13.17,+0.83%,1612.34,1590.24,199000,2022-04-14
CZR,"Caesars Entertainment Inc",68.88,-1.13,-1.61%,71.16,68.79,2681800,2022-04-14
DG,"Dollar General Corp",248.77,3.38,+1.38%,250.3,246.87,2094400,2022-04-14
DHI,"D.R. Horton",72.51,-1.59,-2.15%,75.29,72.35,2517400,2022-04-14
DLTR,"Dollar Tree Inc",173.05,1.98,+1.16%,174.3,170.61,2298700,2022-04-14
DPZ,"Domino's Pizza Inc",387.24,-4.92,-1.25%,393.135,386.9,255900,2022-04-14
DRI,"Darden Restaurants",131.45,-0.13000000000002,-0.10%,133.7,131.24,842100,2022-04-14
EBAY,"Ebay Inc",54.15,-0.97,-1.76%,55.47,53.98,4452100,2022-04-14
ETSY,"Etsy Inc",115.79,-1.68,-1.43%,117.24,112.74,3780200,2022-04-14
EXPE,"Expedia Group Inc",191.55,4.22,+2.25%,193.56,187.55,3118900,2022-04-14
F,"Ford Motor Company",15.48,-0.029999999999999,-0.19%,15.76,15.46,39312900,2022-04-14
GM,"General Motors Company",40.13,-0.089999999999996,-0.22%,40.78,40.09,13315700,2022-04-14
GPC,"Genuine Parts Company",130.94,-0.58000000000001,-0.44%,133.13,130.87,444300,2022-04-14
GRMN,"Garmin Ltd",111.31,-1.76,-1.56%,113.79,111.27,538900,2022-04-14
HAS,"Hasbro Inc",85.22,1.42,+1.69%,85.41,84.11,1668600,2022-04-14
HD,"Home Depot",304.52,-5.9,-1.90%,312.25,304.33,4569100,2022-04-14
