Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ADM,"Archer Daniels Midland",96.91,1.36,+1.42%,95.94,97.644,95.73,2459800,2022-04-14
BF.B,"Brown Forman Inc Cl B",68.5,-0.42,-0.61%,69.24,69.8,68.285,4782100,2022-04-14
CAG,"Conagra Brands Inc",35.62,-0.039999999999999,-0.11%,35.8,35.96,35.452,3530100,2022-04-14
CHD,"Church & Dwight Company",102.65,-0.19999999999999,-0.19%,103.28,103.8736,102.35,998500,2022-04-14
CL,"Colgate-Palmolive Company",80.94,-0.049999999999997,-0.06%,81.36,81.47,80.87,7663600,2022-04-14
CLX,"Clorox Company",145.57,0.18000000000001,+0.12%,146.18,147.06,144.5,820800,2022-04-14
COST,"Costco Wholesale",590.39,-0.7,-0.12%,591.78,596.28,587.05,2206100,2022-04-14
CPB,"Campbell Soup Company",46.2,0.39,+0.85%,46,46.43,45.8745,1424400,2022-04-14
EL,"Estee Lauder Companies",263.87,-2.71,-1.02%,267,270.695,263.69,1552700,2022-04-14
GIS,"General Mills",70.92,0.23999999999999,+0.34%,71,71.24,70.55,6956500,2022-04-14
HRL,"Hormel Foods Corp",53.43,-0.049999999999997,-0.09%,53.58,53.84,53.22,1180300,2022-04-14
HSY,"Hershey Foods Corp",225.98,0.39999999999998,+0.18%,226.31,228.46,225.01,850700,2022-04-14
K,"Kellogg Company",67.88,-0.079999999999998,-0.12%,68.2,68.44,67.73,1515600,2022-04-14
KHC,"Kraft Heinz Company",42.29,0.29,+0.69%,42.03,42.43,41.95,7309200,2022-04-14
KMB,"Kimberly-Clark Corp",126.42,0.030000000000001,+0.02%,127.14,127.3456,126.035,1255400,2022-04-14
KO,"Coca-Cola Company",65.02,0.28999999999999,+0.45%,64.96,65.57,64.82,16388400,2022-04-14
KR,"Kroger Company",58.32,-0.020000000000003,-0.03%,58.46,59.13,58.2,5301400,2022-04-14
LW,"Lamb Weston Holdings Inc",68.71,1.39,+2.06%,67.69,69.18,67.69,1427900,2022-04-14
MDLZ,"Mondelez Intl Inc",63.72,-0.13,-0.20%,64.15,64.22,63.68,6651300,2022-04-14
MKC,"Mccormick & Company",101.57,-0.43000000000001,-0.42%,102.14,102.77,101.47,1066400,2022-04-14
MNST,"Monster Beverage Cp",82.59,-1.42,-1.69%,84.12,84.49,81.9,6279800,2022-04-14
MO,"Altria Group",54.98,0.18,+0.33%,54.73,55.26,54.65,12214100,2022-04-14
PEP,"Pepsico Inc",171.9,-1.1,-0.64%,173.48,174.26,171.76,4834200,2022-04-14
PG,"Procter & Gamble Company",158.57,-0.89000000000001,-0.56%,159.98,160.3,158.45,7806400,2022-04-14
PM,"Philip Morris International Inc",101.77,0.56999999999999,+0.56%,101,102.04,100.76,4370000,2022-04-14
SJM,"J.M. Smucker Company",139.69,0.60999999999999,+0.44%,139.64,140.75,138.88,455900,2022-04-14
STZ,"Constellation Brands Inc",251.42,2.79,+1.12%,250,253.86,249.95,780400,2022-04-14
SYY,"Sysco Corp",86.27,-0.40000000000001,-0.46%,86.91,87.65,86.25,1593500,2022-04-14
TAP,"Molson Coors Brewing Company",55.61,1.32,+2.43%,54.5,55.81,54.5,2333200,2022-04-14
TSN,"Tyson Foods",95.45,0.96000000000001,+1.02%,94.76,96.07,94.58,1357100,2022-04-14
WBA,"Walgreens Boots Alliance",44.81,0.21,+0.47%,44.66,45.42,44.62,5289700,2022-04-14
WMT,"Walmart Inc",157.08,-0.13999999999999,-0.09%,157.11,158.29,156.43,7453400,2022-04-14
"Downloaded from Barchart.com as of 04-17-2022 04:28am CDT"
