Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
APA,"Apa Corp",43.68,0.07,+0.16%,43.37,44.28,43.32,5117000,2022-04-14
BKR,"Baker Hughes A Ge Co. Cl A",37.29,0.07,+0.19%,36.82,37.64,36.77,6853400,2022-04-14
COP,Conocophillips,101.37,1.14,+1.14%,100.19,102.38,99.84,6337800,2022-04-14
CTRA,"Coterra Energy Inc",29.42,0.29,+1.00%,29.2,29.63,28.74,11146700,2022-04-14
CVX,"Chevron Corp",171.59,-0.079999999999984,-0.05%,170.69,172.94,170.56,9421000,2022-04-14
DVN,"Devon Energy Corp",62.56,-1.19,-1.87%,63.26,64.0511,62.53,8616700,2022-04-14
EOG,"Eog Resources",122.94,-0.62,-0.50%,123,123.92,122.31,3332000,2022-04-14
FANG,"Diamondback Energy",138.44,-1.9,-1.35%,139.01,140.92,137.65,1589100,2022-04-14
HAL,"Halliburton Company",40.76,0.57,+1.42%,40.29,41.025,39.87,7578900,2022-04-14
HES,"Hess Corp",114.72,0.090000000000003,+0.08%,113.99,116.33,113.77,1310800,2022-04-14
KMI,"Kinder Morgan",19.37,0.080000000000002,+0.41%,19.28,19.52,19.215,9248700,2022-04-14
MPC,"Marathon Petroleum Corp",87.2,-0.39,-0.45%,87.44,88.32,87,4080400,2022-04-14
MRO,"Marathon Oil Corp",26.61,0.039999999999999,+0.15%,26.4,26.93,26.355,16234900,2022-04-14
OKE,"Oneok Inc",71.3,0,0.00%,71.29,71.84,70.86,1702500,2022-04-14
OXY,"Occidental Petroleum Corp",59.34,-0.27999999999999,-0.47%,59.23,60.37,58.71,18789300,2022-04-14
PSX,"Phillips 66",82.85,-0.29000000000001,-0.35%,83.32,84.09,82.79,3014900,2022-04-14
PXD,"Pioneer Natural Resources Company",254.75,-0.66999999999999,-0.26%,255.05,257.0684,254.18,1551900,2022-04-14
SLB,"Schlumberger N.V.",43.25,0.68,+1.60%,42.36,43.47,42.14,10714500,2022-04-14
VLO,"Valero Energy Corp",104.86,0.92,+0.89%,104,105.45,103.41,3794000,2022-04-14
WMB,"Williams Companies",35.52,0.47000000000001,+1.34%,35.06,35.8,34.85,6861800,2022-04-14
XOM,"Exxon Mobil Corp",87.83,1.02,+1.17%,86.67,88.46,86.2323,24566400,2022-04-14
"Downloaded from Barchart.com as of 04-17-2022 04:25am CDT"
