Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",126.44,-1.85,-1.44%,128.42,128.96,125.57,3360600,2022-04-14
ABBV,"Abbvie Inc",162.31,3.36,+2.11%,157.85,163.87,156.82,11074800,2022-04-14
ABC,"Amerisourcebergen Corp",161.21,-1.75,-1.07%,163.29,164.3,160.49,2988800,2022-04-14
ABMD,"Abiomed Inc",306.08,1.65,+0.54%,306.32,306.35,298.45,256000,2022-04-14
ABT,"Abbott Laboratories",117.69,-1.79,-1.50%,120.05,120.249,117.56,3140100,2022-04-14
ALGN,"Align Technology",409.82,-7.09,-1.70%,416,417.87,407.37,458000,2022-04-14
AMGN,"Amgen Inc",254.02,0.51,+0.20%,254.4,257.57,253.65,2861700,2022-04-14
ANTM,"Anthem Inc",516.72,4.51,+0.88%,514.34,522.765,514.34,1571700,2022-04-14
BAX,"Baxter International Inc",76.44,-2,-2.55%,78.68,78.7575,75.97,3843000,2022-04-14
BDX,"Becton Dickinson and Company",271.68,0.74000000000001,+0.27%,272.22,274.13,270.14,921700,2022-04-14
BIIB,"Biogen Inc",212.55,-1.43,-0.67%,214.4,216,212.2,917900,2022-04-14
BIO,"Bio-Rad Laboratories",548.19,-16.66,-2.95%,564.71,566.53,547.12,224500,2022-04-14
BMY,"Bristol-Myers Squibb Company",77.51,0.64,+0.83%,77.04,78.12,76.79,16730300,2022-04-14
BSX,"Boston Scientific Corp",44.25,-0.18,-0.41%,44.51,44.71,44.03,5172300,2022-04-14
CAH,"Cardinal Health",62.96,-0.07,-0.11%,63.4,64.12,62.905,2924800,2022-04-14
CERN,"Cerner Corp",93.3,-0.05,-0.05%,93.43,93.43,93.26,1257300,2022-04-14
CI,"Cigna Corp",259.21,0.21999999999997,+0.08%,260,265.22,258.87,1381100,2022-04-14
CNC,"Centene Corp",86.54,0.33000000000001,+0.38%,86.79,88.19,86.47,1548700,2022-04-14
COO,"Cooper Companies",399.62,-4.99,-1.23%,405.7,407.13,398.1,217600,2022-04-14
CRL,"Charles River Laboratories Intl",284.63,-5.19,-1.79%,289.82,290.19,281.59,389100,2022-04-14
CTLT,"Catalent Inc",97.32,-3.56,-3.53%,100.51,100.51,96.68,1472800,2022-04-14
CVS,"CVS Corp",103.68,-1.3,-1.24%,105.31,105.75,103.61,5134800,2022-04-14
DGX,"Quest Diagnostics Inc",135.92,-1.13,-0.82%,138.07,138.07,135.33,667000,2022-04-14
DHR,"Danaher Corp",276.98,-6.74,-2.38%,285.14,285.23,276.32,3094700,2022-04-14
DVA,"Davita Healthcare Partners Inc",121.45,0.75,+0.62%,121.2,123.19,121.2,500900,2022-04-14
DXCM,Dexcom,492.11,-6.69,-1.34%,499.4,500,487.52,410200,2022-04-14
EW,"Edwards Lifesciences Corp",120.02,-1.89,-1.55%,122.28,122.5,119.59,2361300,2022-04-14
GILD,"Gilead Sciences Inc",61.82,-0.24,-0.39%,62.07,62.36,61.5,9750000,2022-04-14
HCA,"Hca Holdings Inc",260.94,2.3,+0.89%,259.53,263.35,259.4,1045800,2022-04-14
HOLX,"Hologic Inc",76.33,-0.56,-0.73%,77.18,78.14,75.6,4911800,2022-04-14
HSIC,"Henry Schein Inc",91.36,-0.6,-0.65%,92.01,92.68,91.27,519000,2022-04-14
HUM,"Humana Inc",460.56,1.78,+0.39%,461.05,465.235,458.63,1602500,2022-04-14
IDXX,"Idexx Laboratories",496.78,-11.83,-2.33%,510.3,511.15,496.4,432300,2022-04-14
ILMN,"Illumina Inc",336.49,-6.86,-2.00%,345,345.04,333.39,582900,2022-04-14
INCY,"Incyte Corp",81.74,-0.25,-0.30%,81.56,82.85,80.95,4005700,2022-04-14
IQV,"Iqvia Holdings Inc",238.48,-0.83000000000001,-0.35%,240.12,241.65,235.27,931200,2022-04-14
ISRG,"Intuitive Surg Inc",279.7,-5.52,-1.94%,286.1,287.15,278.95,1582500,2022-04-14
JNJ,"Johnson & Johnson",179.9,-0.75999999999999,-0.42%,180,181.4,179.73,6188100,2022-04-14
LH,"Laboratory Corp of America Holdings",269.04,0.11000000000001,+0.04%,270.09,271.085,267.11,1439600,2022-04-14
LLY,"Eli Lilly and Company",301.86,-0.81,-0.27%,303.75,304.47,300.19,1898100,2022-04-14
MCK,"Mckesson Corp",323.25,-2.37,-0.73%,326.5,329.39,322.74,969100,2022-04-14
MDT,"Medtronic Inc",109.02,-1.44,-1.30%,110.83,111.11,108.91,6665800,2022-04-14
MOH,"Molina Healthcare Inc",335.94,1.77,+0.53%,335.65,342.38,335.57,232700,2022-04-14
MRK,"Merck & Company",86.91,0.78,+0.91%,86.13,87.51,85.41,22096100,2022-04-14
MRNA,"Moderna Inc",165.49,-4.17,-2.46%,168.59,170.75,164.85,4348200,2022-04-14
MTD,"Mettler-Toledo International",1318.36,-24.23,-1.80%,1344.0699,1344.0699,1314.235,135900,2022-04-14
OGN,"Organon & CO",34.9,-0.079999999999998,-0.23%,35.01,35.32,34.465,1516000,2022-04-14
PFE,"Pfizer Inc",53.12,0.019999999999996,+0.04%,53.4,53.9094,53.04,17240100,2022-04-14
PKI,Perkinelmer,161.42,-2.75,-1.68%,164.23,164.6986,161.18,569700,2022-04-14
REGN,"Regeneron Pharmaceuticals",733.02,1.13,+0.15%,732.25,738.99,730.94,795700,2022-04-14
RMD,"Resmed Inc",234.21,-2.39,-1.01%,237.01,237.16,233.54,424300,2022-04-14
STE,"Steris Corp",244.46,-4.89,-1.96%,250.43,251.17,243.99,533200,2022-04-14
SYK,"Stryker Corp",261.7,-1.94,-0.74%,265.53,265.5411,261.17,913000,2022-04-14
TECH,"Bio-Techne Cp",418.08,-1.32,-0.31%,421.33,425.17,413.68,199100,2022-04-14
TFX,"Teleflex Inc",336.62,-1.48,-0.44%,340,340.14,333.14,285400,2022-04-14
TMO,"Thermo Fisher Scientific Inc",568.9,-7.9,-1.37%,578.03,578.07,564.64,1225600,2022-04-14
UHS,"Universal Health Services",151.14,2.18,+1.46%,149.38,152.36,149.38,390000,2022-04-14
UNH,"Unitedhealth Group Inc",534.82,-2.1799999999999,-0.41%,538.5,553.29,534.07,4211200,2022-04-14
VRTX,"Vertex Pharmaceutic",287.97,-2.96,-1.02%,289.32,292.75,286.08,2520800,2022-04-14
VTRS,"Viatris Inc",10.96,-0.03,-0.27%,10.99,11.11,10.94,9283399,2022-04-14
WAT,"Waters Corp",295.39,-3.2,-1.07%,299.5,300.785,293.41,273800,2022-04-14
WST,"West Pharmaceutical Services",381.22,-5.8,-1.50%,389.24,390.62,379.625,258000,2022-04-14
XRAY,"Dentsply Sirona Inc",49.07,0.32,+0.66%,48.82,49.35,48.63,887700,2022-04-14
ZBH,"Zimmer Biomet Holdings",126,-1.95,-1.52%,128.16,128.75,125.95,1087300,2022-04-14
ZTS,"Zoetis Inc Cl A",187.3,-2.22,-1.17%,189.9,190.51,186.32,1819400,2022-04-14
"Downloaded from Barchart.com as of 04-17-2022 04:30am CDT"
