Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",19,0.05,+0.26%,18.99,19.49,18.88,43180602,2022-04-14
ALK,"Alaska Air Group",57.11,0.87,+1.55%,56.68,57.875,56.52,1582200,2022-04-14
ALLE,"Allegion Plc",107.43,-0.75999999999999,-0.70%,108.83,109.85,107.18,739700,2022-04-14
AME,"Ametek Inc",127.05,-2.49,-1.92%,130,130.41,127.05,2247100,2022-04-14
AOS,"Smith A.O. Corp",63.79,-0.91,-1.41%,65.11,65.45,63.76,727300,2022-04-14
BA,"Boeing Company",181.94,-0.93000000000001,-0.51%,182.75,185.54,181.64,5144600,2022-04-14
CARR,"Carrier Global Corp",41.28,-0.83,-1.97%,42.12,42.33,41.27,2618200,2022-04-14
CAT,"Caterpillar Inc",227.81,9.54,+4.37%,219.91,229.215,218.61,5337800,2022-04-14
CHRW,"C.H. Robinson Ww",103.28,1.62,+1.59%,101.14,103.65,101.14,826400,2022-04-14
CMI,"Cummins Inc",195.94,1.34,+0.69%,195.12,197.02,193.93,995600,2022-04-14
CPRT,"Copart Inc",116.98,-4.41,-3.63%,121.9,122.7,116.74,1127500,2022-04-14
CSX,"CSX Corp",35.06,0.17,+0.49%,34.9,35.19,34.86,12727101,2022-04-14
CTAS,"Cintas Corp",413.67,-5.71,-1.36%,421.55,423.47,412.9,345800,2022-04-14
DAL,"Delta Air Lines Inc",42.36,1.34,+3.27%,41.97,42.8691,41.33,29128800,2022-04-14
DE,"Deere & Company",436.75,9.46,+2.21%,427.93,439.4099,427.93,1522800,2022-04-14
DOV,"Dover Corp",146.39,-3.02,-2.02%,149.96,150.83,146.27,886000,2022-04-14
EFX,"Equifax Inc",216.38,1.38,+0.64%,216.53,219.41,216.2,1267000,2022-04-14
EMR,"Emerson Electric Company",92.86,-0.45,-0.48%,93.59,93.96,92.66,5319900,2022-04-14
ETN,"Eaton Corp",139.91,-1.86,-1.31%,141.01,142.71,139.41,1833000,2022-04-14
EXPD,"Expeditors Intl",96.69,-0.68,-0.70%,97.86,97.99,96.31,3645200,2022-04-14
FAST,"Fastenal Company",56.01,-2.97,-5.04%,59,59.06,55.81,6110300,2022-04-14
FBHS,"Fortune Brands Home & Security",69.64,-1.66,-2.33%,71.39,71.965,69.59,1287700,2022-04-14
FDX,"Fedex Corp",205.74,-0.56999999999999,-0.28%,207.05,208.5,204.95,1922200,2022-04-14
FTV,"Fortive Corp",58.18,-0.97,-1.64%,59.33,59.51,58.03,2501600,2022-04-14
GD,"General Dynamics Corp",243.74,0.030000000000001,+0.01%,244.8,245.97,243,957500,2022-04-14
GE,"General Electric Company",90.83,0.079999999999998,+0.09%,91.04,92.15,90.63,3829300,2022-04-14
GNRC,"Generac Holdings Inc",251.19,-16.9,-6.30%,269.43,269.7093,250.06,1245800,2022-04-14
GWW,"W.W. Grainger",491.43,-35.68,-6.77%,517.96,520.84,491.33,532600,2022-04-14
HII,"Huntington Ingalls Industries",222.67,9.73,+4.57%,218.13,223.98,217.8599,616200,2022-04-14
HON,"Honeywell International Inc",195.19,0.34,+0.17%,195.17,196.7,194.91,4275700,2022-04-14
HWM,"Howmet Aerospace Inc",35.48,0.2,+0.57%,35.41,35.92,35.34,2242200,2022-04-14
IEX,"Idex Corp",190.56,-4.54,-2.33%,195.67,197.205,190.42,313800,2022-04-14
IR,"Ingersoll Rand Inc",46.44,-0.89,-1.88%,47.31,47.5499,46.41,1583600,2022-04-14
ITW,"Illinois Tool Works Inc",196.27,-3.07,-1.54%,199.5,199.62,196,1540800,2022-04-14
J,"Jacobs Engineering Group Inc",144.66,1.22,+0.85%,144.19,145.78,143.82,651600,2022-04-14
JBHT,"J B Hunt Transport",172.01,0.03,+0.02%,171.83,173.89,170.67,1092600,2022-04-14
JCI,"Johnson Controls Intl",61.53,-1.14,-1.82%,62.86,63.12,61.39,3877000,2022-04-14
LDOS,"Leidos Holdings Inc",109.06,0.33,+0.30%,109.2,110.65,108.81,584300,2022-04-14
LHX,"L3Harris Technologies Inc",257.41,3.16,+1.24%,256,258.42,255.7331,1048900,2022-04-14
LMT,"Lockheed Martin Corp",467.66,-1.53,-0.33%,471.91,473.73,466.04,1965100,2022-04-14
LUV,"Southwest Airlines Company",46.76,0.71,+1.54%,46.44,47.16,46.27,7226100,2022-04-14
MAS,"Masco Corp",49.39,-1.06,-2.10%,50.6,50.85,49.36,1693400,2022-04-14
MMM,"3M Company",147.38,-1.28,-0.86%,148.65,149.59,147.205,2331000,2022-04-14
NDSN,"Nordson Corp",214.74,-4.15,-1.90%,219.52,220.83,214.46,151600,2022-04-14
NLSN,"Nielsen Holdings Plc",27.4,-0.12,-0.44%,27.44,27.5,27.205,22772800,2022-04-14
NOC,"Northrop Grumman Corp",467.2,2.68,+0.58%,468.48,470.25,463.335,1120300,2022-04-14
NSC,"Norfolk Southern Corp",263.06,2.13,+0.82%,261.83,264.74,261.275,2129500,2022-04-14
ODFL,"Old Dominion Freight Line Inc",264.75,-1.83,-0.69%,265.45,268.43,262.46,1588600,2022-04-14
OTIS,"Otis Worldwide Corp",74.75,-1.09,-1.44%,76.03,76.485,74.7,1717000,2022-04-14
PCAR,"Paccar Inc",83.71,0.47,+0.56%,83.34,84.3,83.19,4479200,2022-04-14
PH,"Parker-Hannifin Corp",273.87,0.31999999999999,+0.12%,275.82,277.31,272.66,509200,2022-04-14
PNR,"Pentair Ltd",52.43,-0.53,-1.00%,53.38,53.76,52.36,1436100,2022-04-14
PWR,"Quanta Services",135.14,0.39999999999998,+0.30%,134.87,136.7372,134.59,1532600,2022-04-14
RHI,"Robert Half International Inc",108.56,-2.73,-2.45%,111.45,111.83,108.42,552800,2022-04-14
ROK,"Rockwell Automation Inc",261.66,-5.38,-2.01%,267.06,267.99,261.48,509800,2022-04-14
ROL,"Rollins Inc",34.9,-0.58,-1.63%,35.6,35.74,34.86,919300,2022-04-14
ROP,"Roper Industries",461.16,-7.84,-1.67%,468.77,472.12,460.82,347000,2022-04-14
RSG,"Republic Services",132.71,-0.44,-0.33%,133.67,134.63,132.641,890600,2022-04-14
RTX,"Raytheon Technologies Corp",104.27,0.89999999999999,+0.87%,103.89,104.98,103.67,4027300,2022-04-14
SNA,"Snap-On Inc",211.16,0.52000000000001,+0.25%,211.52,212.25,209.59,255900,2022-04-14
SPGI,"S&P Global Inc",387.59,-8.72,-2.20%,398.21,400.17,387,2404900,2022-04-14
SWK,"Stanley Black & Decker Inc",140.32,-1.13,-0.80%,141.78,142.94,139.475,2198600,2022-04-14
TDG,"Transdigm Group Inc",638.48,2.3100000000001,+0.36%,640.23,648.255,637.049,325100,2022-04-14
TT,"Trane Technologies Plc",148.05,-0.94,-0.63%,149.18,150.27,147.52,3455100,2022-04-14
TXT,"Textron Inc",68.65,-0.55,-0.79%,69.49,69.98,68.48,1083600,2022-04-14
UAL,"United Airlines Holdings Inc",45.13,-0.01,-0.02%,45.49,46.51,45.03,12314900,2022-04-14
UNP,"Union Pacific Corp",246.21,1.58,+0.65%,246.4,247.9,244.53,3180200,2022-04-14
UPS,"United Parcel Service",188.02,-0.84999999999999,-0.45%,191.12,191.29,187.84,2624200,2022-04-14
URI,"United Rentals",331.07,6.32,+1.95%,326.12,334.55,326.12,526500,2022-04-14
VRSK,"Verisk Analytics Inc",213.3,-0.81,-0.38%,215.49,216.47,213.06,630200,2022-04-14
WAB,"Wabtec Corp",89.17,-0.39,-0.44%,89.88,90.34,89.11,741700,2022-04-14
WM,"Waste Management",159.16,-0.58000000000001,-0.36%,160.09,161.15,159.045,1282700,2022-04-14
XYL,"Xylem Inc",84.14,-2.4,-2.77%,86.92,87.75,84.05,3518500,2022-04-14
"Downloaded from Barchart.com as of 04-17-2022 04:29am CDT"
