Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAPL,"Apple Inc",165.29,-5.11,-3.00%,170.62,171.27,165.04,75329297,2022-04-14
ACN,"Accenture Plc",319.47,-6.1199999999999,-1.88%,326.88,328.28,319.29,2964800,2022-04-14
ADBE,"Adobe Systems Inc",420.44,-11.23,-2.60%,435.86,435.95,420.03,2597000,2022-04-14
ADI,"Analog Devices",156.5,-1.62,-1.02%,158.37,159.86,156.29,5228600,2022-04-14
ADP,"Automatic Data Procs",229.2,-4.54,-1.94%,233.74,234.67,228.62,2213500,2022-04-14
ADSK,"Autodesk Inc",196.73,-5.01,-2.48%,202.97,203.17,196.22,1197100,2022-04-14
AKAM,"Akamai Technologies",118.99,-0.2,-0.17%,119.23,119.83,118.58,855200,2022-04-14
AMAT,"Applied Materials",113.36,-3.5,-3.00%,117.41,117.53,113.25,7711100,2022-04-14
AMD,"Adv Micro Devices",93.06,-4.68,-4.79%,98.37,98.39,92.92,73354305,2022-04-14
ANET,"Arista Networks Inc",126.58,-4.79,-3.65%,131.41,132.85,126.5,1574200,2022-04-14
ANSS,"Ansys Inc",282.33,-13.47,-4.55%,300.45,300.67,281.9,495000,2022-04-14
APH,"Amphenol Corp",70.38,-1.53,-2.13%,71.91,72.1,70.32,3053000,2022-04-14
AVGO,"Broadcom Ltd",573.85,-18.69,-3.15%,594.99,597.06,572.86,2738400,2022-04-14
BR,"Broadridge Financial Solutions Llc",153.52,-1.96,-1.26%,155.98,156.37,153.45,327400,2022-04-14
CDAY,"Ceridian Hcm Holding Inc",60.63,-1.59,-2.56%,62.55,62.55,60.61,1514300,2022-04-14
CDNS,"Cadence Design Sys",149.8,-5.99,-3.84%,156.05,156.17,149.05,2113000,2022-04-14
CDW,"CDW Corp",172.97,2,+1.17%,174.12,176.75,172.63,1028700,2022-04-14
CRM,"Salesforce Inc",189.41,-6.31,-3.22%,196.32,196.45,189.22,5126600,2022-04-14
CSCO,"Cisco Systems Inc",51.17,-0.98,-1.88%,52.08,52.38,51.12,18024801,2022-04-14
CTSH,"Cognizant Tech Sol",84.74,-1.32,-1.53%,86.07,86.38,84.58,2616000,2022-04-14
CTXS,"Citrix Systems Inc",102.24,0.24,+0.24%,102.34,102.34,101.83,935000,2022-04-14
DXC,"Dxc Technology Company",31.25,0.24,+0.77%,31.2,31.73,31.03,1267400,2022-04-14
