Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ALB,"Albemarle Corp",210.89,-1.61,-0.76%,212.97,215.22,210.22,572500,2022-04-14
AMCR,"Amcor Plc",11.67,-0.029999999999999,-0.26%,11.73,11.8,11.67,3345200,2022-04-14
APD,"Air Products and Chemicals",246.84,-3.08,-1.23%,250.18,251.76,246.52,1208200,2022-04-14
AVY,"Avery Dennison Corp",166.49,-6.02,-3.49%,173.08,174.19,166.42,630500,2022-04-14
BLL,"Ball Corp",87.15,-0.8,-0.91%,87.88,88.37,86.85,4412400,2022-04-14
CE,"Celanese Corp",145.17,-1.95,-1.33%,147.99,149.39,145.12,987000,2022-04-14
CF,"Cf Industries Holdings",108.41,-0.60000000000001,-0.55%,107.43,110.3994,106.6605,3082700,2022-04-14
CTVA,"Corteva Inc",61.01,0.059999999999995,+0.10%,61.33,61.74,60.88,3714300,2022-04-14
DD,"Dupont Denemours Inc",68.7,-0.27,-0.39%,68.98,69.77,68.5,2698300,2022-04-14
DOW,"Dow Inc",65.49,1.33,+2.07%,64.49,66,64.39,7000300,2022-04-14
ECL,"Ecolab Inc",176.6,-3.57,-1.98%,181.14,182.1,176.54,1102600,2022-04-14
EMN,"Eastman Chemical Company",107.91,-0.48,-0.44%,108.8,109.96,107.85,896700,2022-04-14
FCX,"Freeport-Mcmoran Inc",49.19,-0.24,-0.49%,49.7,50.42,49.14,12110200,2022-04-14
FMC,"FMC Corp",136.79,-1.8,-1.30%,137.61,138.48,136.7,819000,2022-04-14
IFF,"International Flavors & Fragrances",125.43,-2.17,-1.70%,128.39,129,125.17,1745400,2022-04-14
IP,"International Paper Company",47.43,0.38,+0.81%,47.1,47.67,47.1,1644400,2022-04-14
LIN,"Linde Plc",318.52,-0.73000000000002,-0.23%,318.96,320.7,316.62,1785300,2022-04-14
LYB,"Lyondellbasell Industries NV",107.58,1.66,+1.57%,106.36,108.19,106.18,1424900,2022-04-14
MLM,"Martin Marietta Materials",364.82,-2.15,-0.59%,367.01,370.78,363.82,263300,2022-04-14
MOS,"Mosaic Company",76.05,1,+1.33%,74.63,77.05,74.4,6263100,2022-04-14
NEM,"Newmont Mining Corp",84.77,0.47,+0.56%,83.74,85.29,83.4915,5672300,2022-04-14
NUE,"Nucor Corp",165.32,2.09,+1.28%,163.99,166.84,163.79,2497800,2022-04-14
PKG,"Packaging Corp of America",163.02,3.43,+2.15%,160.25,164.27,159.8969,604000,2022-04-14
PPG,"PPG Industries",128.27,-2.32,-1.78%,131.45,132.3,128.07,3020700,2022-04-14
SEE,"Sealed Air Corp",67.42,0.12,+0.18%,67.51,68.3,67.02,450000,2022-04-14
SHW,"Sherwin-Williams Company",252.9,-5.5,-2.13%,259.84,261.26,252.75,1246800,2022-04-14
VMC,"Vulcan Materials Company",174.77,-1.7,-0.96%,176.4,177.82,174.72,536400,2022-04-14
WRK,"Westrock Company",49.93,0.45,+0.91%,49.66,50.4782,49.66,1652600,2022-04-14
"Downloaded from Barchart.com as of 04-17-2022 04:30am CDT"
