Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ATVI,"Activision Blizzard",78.93,-0.17,-0.21%,78.96,79.17,78.85,4571500,2022-04-14
CHTR,"Charter Communicatio",555.32,-7.08,-1.26%,564.54,567.07,553.12,1023500,2022-04-14
CMCSA,"Comcast Corp A",47.58,-0.33,-0.69%,47.99,48.24,47.49,16540000,2022-04-14
DIS,"Walt Disney Company",130.47,-1.88,-1.42%,132.81,133.59,130.35,7283400,2022-04-14
DISCA,"Discovery Comm A",24.43,1.36,+5.90%,23.07,24.51,22.78,22358898,2022-04-08
DISH,"Dish Network Corp",33.19,1.06,+3.30%,32.27,33.26,32.17,2277800,2022-04-14
EA,"Electronic Arts Inc",122.6,-1.02,-0.83%,123.63,123.96,121.19,2036300,2022-04-14
FB,"Meta Platforms Inc",210.18,-4.81,-2.24%,214.89,214.99,210,18379400,2022-04-14
FOX,"Fox Corp Cl B",35.85,-0.08,-0.22%,35.99,36.4,35.81,1431400,2022-04-14
FOXA,"Fox Corp Cl A",39.12,0.01,+0.03%,39.21,39.68,39.07,1773300,2022-04-14
GOOG,"Alphabet Cl C",2545.06,-60.66,-2.33%,2612.99,2614.21,2542.23,1174100,2022-04-14
GOOGL,"Alphabet Cl A",2534.6,-63.28,-2.44%,2609.59,2609.59,2532.02,1579800,2022-04-14
IPG,"Interpublic Group of Companies",34.49,0.17,+0.50%,34.42,34.81,34.42,2398600,2022-04-14
LUMN,Centurylink,11.47,-0.09,-0.78%,11.59,11.68,11.455,5746900,2022-04-14
LYV,"Live Nation Entertainment",111.31,-1.65,-1.46%,112.88,114.75,111.26,1175100,2022-04-14
MTCH,"Match Group Inc",92.1,-4.22,-4.38%,96.9,97.28,92.02,1918500,2022-04-14
NFLX,"Netflix Inc",341.13,-9.3,-2.65%,350.95,352,339.86,4343800,2022-04-14
NWS,"News Cp Cl B",21.48,-0.6,-2.72%,22.09,22.29,21.46,492900,2022-04-14
NWSA,"News Cp Cl A",21.17,-0.46,-2.13%,21.68,21.83,21.06,2699500,2022-04-14
OMC,"Omnicom Group Inc",78.69,0.58,+0.74%,78.38,79.41,78.28,1710700,2022-04-14
PARA,"Paramount Global Cl B",36.41,0.17,+0.47%,36.35,36.98,36.02,3950800,2022-04-14
T,"AT&T Inc",19.54,0.12,+0.62%,19.32,19.59,19.21,52731100,2022-04-14
TMUS,"T-Mobile US",132.96,-1.89,-1.40%,134.85,135.15,132.54,3921300,2022-04-14
TTWO,"Take-Two Interactive",137.96,-1.03,-0.74%,138.88,139.9,137.24,1357800,2022-04-14
TWTR,"Twitter Inc",45.08,-0.77,-1.68%,48.37,48.5,44.72,258868300,2022-04-14
VZ,"Verizon Communications Inc",53.83,-0.31,-0.57%,54,54.19,53.78,16915000,2022-04-14
"Downloaded from Barchart.com as of 04-17-2022 04:33am CDT"
