Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AEE,"Ameren Corp",96.25,0,0.00%,96.6,96.925,96.16,795200,2022-04-14
AEP,"American Electric Power Company",102.04,-0.21,-0.21%,102.73,102.76,101.87,2188200,2022-04-14
AES,"The Aes Corp",24.41,-0.059999999999999,-0.25%,24.55,24.78,24.365,4368700,2022-04-14
ATO,"Atmos Energy Corp",119.74,-0.16000000000001,-0.13%,120.88,121,119.71,939100,2022-04-14
AWK,"American Water Works",166.16,-0.99000000000001,-0.59%,167.82,168.68,166.07,581800,2022-04-14
CEG,"Constellation Energy Corp",62.55,-1.65,-2.57%,64.12,64.72,62.18,1860000,2022-04-14
CMS,"Cms Energy Corp",71.55,-0.35000000000001,-0.49%,72.08,72.37,71.54,2472000,2022-04-14
CNP,"Centerpoint Energy Inc",32.4,0.079999999999998,+0.25%,32.47,32.63,32.319,5403600,2022-04-14
D,"Dominion Resources",87.4,0.21000000000001,+0.24%,87.74,88.134,87.34,3310000,2022-04-14
DTE,"Dte Energy Company",137.17,0.53999999999999,+0.40%,136.49,138.02,136.49,817100,2022-04-14
DUK,"Duke Energy Corp",114.85,-0.26000000000001,-0.23%,115.19,115.52,114.48,2719300,2022-04-14
ED,"Consolidated Edison Company of New York",98.03,0.13,+0.13%,98.26,98.59,97.73,1272500,2022-04-14
EIX,"Edison International",71.84,-0.61999999999999,-0.86%,72.49,72.64,71.81,1017500,2022-04-14
ES,"Eversource Energy",92.6,0.089999999999989,+0.10%,92.76,93.2,92.335,1191400,2022-04-14
ETR,"Entergy Corp",124.2,0.83,+0.67%,123.6,124.76,123.25,925000,2022-04-14
EVRG,"Evergy Inc",70.81,0.21000000000001,+0.30%,70.66,71.365,70.65,739000,2022-04-14
EXC,"Exelon Corp",49.03,0.39,+0.80%,48.88,49.35,48.64,6493500,2022-04-14
FE,"Firstenergy Corp",47.4,0.24,+0.51%,47.38,47.585,47.06,2745500,2022-04-14
LNT,"Alliant Energy Corp",63.39,-0.2,-0.31%,63.87,64,63.3,1382700,2022-04-14
NEE,"Nextera Energy",82.81,-0.73999999999999,-0.89%,83.55,83.89,82.78,7164100,2022-04-14
NI,"NiSource Inc",31.75,0.07,+0.22%,31.77,31.9501,31.615,3756500,2022-04-14
NRG,"NRG Energy",39.19,0.41999999999999,+1.08%,38.85,39.27,38.775,2020300,2022-04-14
PEG,"Public Service Enterprise Group Inc",72.8,1.25,+1.75%,72.15,73.29,71.95,4180800,2022-04-14
PNW,"Pinnacle West Capital Corp",77.54,0.2,+0.26%,77.43,78.07,77.2675,484200,2022-04-14
PPL,"PPL Corp",29.2,0.23,+0.79%,29.05,29.315,28.91,5736800,2022-04-14
SO,"Southern Company",75.99,0.63,+0.84%,75.41,76.28,74.98,5925800,2022-04-14
SRE,Sempra,171.25,0.83000000000001,+0.49%,171.25,172.38,170.75,1098400,2022-04-14
WEC,"Wisconsin Energy Corp",103.19,-0.010000000000005,-0.01%,103.63,104.11,103.15,960500,2022-04-14
XEL,"XCEL Energy Inc",74.34,-0.03,-0.04%,74.41,74.83,74.18,2007100,2022-04-14
"Downloaded from Barchart.com as of 04-17-2022 04:27am CDT"
